year,urim,status_code,date,time,mimetype,redirects_to,redirect_type
2023,https://arquivo.pt/wayback/20230220045308/https://instagram.com/instagram/,302,2/20/2023,4:53:08,,,login
2017,https://arquivo.pt/wayback/20170731173158/https://instagram.com/cristiano,301,7/31/2017,17:31:58,text/plain,https://arquivo.pt/wayback/20180617141516/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20180410033837/http://instagram.com/cristiano/,301,4/10/2018,3:38:37,text/plain,https://arquivo.pt/wayback/20180617141516/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20180410043618/http://instagram.com/cristiano,301,4/10/2018,4:36:18,text/plain,https://arquivo.pt/wayback/20180617141516/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20180617141516/https://www.instagram.com/cristiano/,200,6/17/2018,14:15:16,,,
2018,https://arquivo.pt/wayback/20180618154749/https://www.instagram.com/cristiano/,200,6/18/2018,15:47:49,,,
2018,https://arquivo.pt/wayback/20180625141816/https://www.instagram.com/cristiano/,200,6/25/2018,14:18:16,,,
2018,https://arquivo.pt/wayback/20180626171801/https://www.instagram.com/cristiano/,200,6/26/2018,17:18:01,,,
2018,https://arquivo.pt/wayback/20180627190246/https://www.instagram.com/cristiano/,200,6/27/2018,19:02:46,,,
2018,https://arquivo.pt/wayback/20180702194508/https://www.instagram.com/cristiano/,200,7/2/2018,19:45:08,,,
2018,https://arquivo.pt/wayback/20180712114651/https://instagram.com/cristiano,301,7/12/2018,11:46:51,,https://arquivo.pt/wayback/20180713202148/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20180712143112/http://instagram.com/cristiano,301,7/12/2018,14:31:12,text/plain,https://arquivo.pt/wayback/20180713202148/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20180713202148/https://www.instagram.com/cristiano/,200,7/13/2018,20:21:48,,,
2018,https://arquivo.pt/wayback/20180715202935/https://www.instagram.com/cristiano/,200,7/15/2018,20:29:35,,,
2018,https://arquivo.pt/wayback/20180717134340/https://www.instagram.com/cristiano,301,7/17/2018,13:43:40,,,
2018,https://arquivo.pt/wayback/20180717192307/https://www.instagram.com/cristiano/,200,7/17/2018,19:23:07,,https://arquivo.pt/wayback/20180717192307/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20180719211416/https://www.instagram.com/cristiano/,200,7/19/2018,21:14:16,,,
2018,https://arquivo.pt/wayback/20180720214833/https://www.instagram.com/cristiano/,200,7/20/2018,21:48:33,,,
2018,https://arquivo.pt/wayback/20181019170713/https://instagram.com/cristiano,301,10/19/2018,17:07:13,,https://arquivo.pt/wayback/20181024193848/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20181024193848/https://www.instagram.com/cristiano/,200,10/24/2018,19:38:48,,,
2018,https://arquivo.pt/wayback/20181028084014/https://instagram.com/cristiano,301,10/28/2018,8:40:14,,https://arquivo.pt/wayback/20181024193848/https://www.instagram.com/cristiano/,2xx
2018,https://arquivo.pt/wayback/20181028113611/http://instagram.com/cristiano,301,10/28/2018,11:36:11,text/plain,https://arquivo.pt/wayback/20181024193848/https://www.instagram.com/cristiano/,2xx
